noted_date,temp,out/in
2025-01-01T00:00:00,20.767261499625363,in
2025-01-01T00:01:00,20.974671998611978,in
2025-01-01T00:02:00,21.284011661553652,in
2025-01-01T00:03:00,21.04246991673545,in
2025-01-01T00:04:00,20.945683789575543,in
2025-01-01T00:05:00,20.774311863160683,in
2025-01-01T00:06:00,21.252728338640402,in
2025-01-01T00:07:00,21.042848095476167,in
2025-01-01T00:08:00,20.797546796423795,in
2025-01-01T00:09:00,20.930131107039045,in
2025-01-01T00:10:00,20.88487207092621,in
2025-01-01T00:11:00,21.064490640909288,in
2025-01-01T00:12:00,21.12311984596283,in
2025-01-01T00:13:00,21.024320558283353,in
2025-01-01T00:14:00,21.224161363253415,in
2025-01-01T00:15:00,21.127242955632862,in
2025-01-01T00:16:00,21.282604564212665,in
2025-01-01T00:17:00,21.07753037347906,in
2025-01-01T00:18:00,21.59577664518508,in
2025-01-01T00:19:00,21.06218921167599,in
2025-01-01T00:20:00,21.01926397775522,in
2025-01-01T00:21:00,21.008735442410778,in
2025-01-01T00:22:00,21.138972405704376,in
2025-01-01T00:23:00,20.920631881143176,in
2025-01-01T00:24:00,21.230711140422574,in
2025-01-01T00:25:00,20.908711054847803,in
2025-01-01T00:26:00,21.226752500758092,in
2025-01-01T00:27:00,21.007824525617014,in
2025-01-01T00:28:00,21.16134373191444,in
2025-01-01T00:29:00,21.317259136596213,in
2025-01-01T00:30:00,21.580238787851275,in
2025-01-01T00:31:00,21.08100268717796,in
2025-01-01T00:32:00,21.228239195754217,in
2025-01-01T00:33:00,21.150321323763997,in
2025-01-01T00:34:00,21.136516998167284,in
2025-01-01T00:35:00,21.167877923937162,in
2025-01-01T00:36:00,21.40687407225494,in
2025-01-01T00:37:00,21.218209544370012,in
2025-01-01T00:38:00,21.636982142221694,in
2025-01-01T00:39:00,21.370162774229225,in
2025-01-01T00:40:00,21.16445811417255,in
2025-01-01T00:41:00,21.269160786671584,in
2025-01-01T00:42:00,21.21210923302646,in
