noted_date,temp,out/in
2025-01-01T00:00:00,20.892621383432814,in
2025-01-01T00:01:00,21.022588429518596,in
2025-01-01T00:02:00,20.79080384216176,in
2025-01-01T00:03:00,21.040227779263805,in
2025-01-01T00:04:00,20.89039692690393,in
2025-01-01T00:05:00,20.971651520733726,in
2025-01-01T00:06:00,21.20244217934645,in
2025-01-01T00:07:00,21.124162100887027,in
2025-01-01T00:08:00,21.14631830311444,in
2025-01-01T00:09:00,20.803090233590996,in
2025-01-01T00:10:00,21.352037049004284,in
2025-01-01T00:11:00,20.905469973124802,in
2025-01-01T00:12:00,21.321303122664986,in
2025-01-01T00:13:00,21.253034697822354,in
2025-01-01T00:14:00,21.194204285048084,in
2025-01-01T00:15:00,20.98717490242574,in
2025-01-01T00:16:00,21.145996183144774,in
2025-01-01T00:17:00,21.060471273594437,in
2025-01-01T00:18:00,21.143333742109203,in
2025-01-01T00:19:00,21.10938168133425,in
2025-01-01T00:20:00,20.84897190053274,in
2025-01-01T00:21:00,21.33094814757283,in
2025-01-01T00:22:00,21.158447441205116,in
2025-01-01T00:23:00,21.10584223484771,in
2025-01-01T00:24:00,21.102477628923936,in
2025-01-01T00:25:00,21.24827555673754,in
2025-01-01T00:26:00,21.068438411405335,in
2025-01-01T00:27:00,20.87223595346036,in
2025-01-01T00:28:00,21.279607213502697,in
2025-01-01T00:29:00,21.30444352641988,in
2025-01-01T00:30:00,21.204688361568177,in
2025-01-01T00:31:00,21.070517334016635,in
2025-01-01T00:32:00,21.26412714430157,in
2025-01-01T00:33:00,21.03920526973329,in
2025-01-01T00:34:00,21.112912957048255,in
2025-01-01T00:35:00,21.16251923295697,in
2025-01-01T00:36:00,21.409854961543132,in
2025-01-01T00:37:00,21.237026281439032,in
2025-01-01T00:38:00,21.232405275714594,in
2025-01-01T00:39:00,21.6009697631567,in
2025-01-01T00:40:00,21.36882908792697,in
2025-01-01T00:41:00,21.375015740564567,in
2025-01-01T00:42:00,21.27693116975114,in
2025-01-01T00:43:00,21.25116295932891,in
2025-01-01T00:44:00,21.020902725083115,in
2025-01-01T00:45:00,21.502432149182212,in
2025-01-01T00:46:00,21.432637143053274,in
2025-01-01T00:47:00,21.346797488050488,in
2025-01-01T00:48:00,21.36138200597467,in
2025-01-01T00:49:00,21.500693041283135,in
2025-01-01T00:50:00,21.165381890029476,in
2025-01-01T00:51:00,21.318434650315787,in
2025-01-01T00:52:00,21.244811161120648,in
2025-01-01T00:53:00,21.68933385610483,in
2025-01-01T00:54:00,21.56331764037015,in
2025-01-01T00:55:00,21.109938075767708,in
2025-01-01T00:56:00,21.221661044370006,in
2025-01-01T00:57:00,21.437267249266228,in
2025-01-01T00:58:00,21.394657216032623,in
2025-01-01T00:59:00,21.27528023987252,in
2025-01-01T01:00:00,21.774076245442533,in
2025-01-01T01:01:00,21.537677090686334,in
2025-01-01T01:02:00,21.57046244032058,in
2025-01-01T01:03:00,21.403891171557184,in
2025-01-01T01:04:00,21.624497330877368,in
2025-01-01T01:05:00,21.467563301200354,in
2025-01-01T01:06:00,21.490607796232066,in
2025-01-01T01:07:00,21.63324951212896,in
2025-01-01T01:08:00,21.305748256553226,in
2025-01-01T01:09:00,21.798159308934647,in
2025-01-01T01:10:00,21.594479154332376,in
